chr	start	end	value
chrV	11076777	11078154	act-2
chrV	11071690	11074498	act-3
chrX	6841258	6842121	asg-2
chrIV	11253989	11255721	C05C12.1
chrI	6915043	6916593	C48B6.3
chrI	3318830	3330673	cdap-2
chrX	14994752	14999201	cutl-3
chrI	11034059	11038827	dxbp-1
chrX	15420971	15425115	F39D8.3
chrX	14954883	14955231	F45B8.13
chrI	11248270	11250018	F46A8.11
chrIV	12526231	12527396	F53B2.8
chrII	3907140	3908516	fbxb-103
chrX	15433787	15434972	flp-32
chrV	14564819	14579719	gar-3
chrX	15479017	15485711	gcy-36
chrX	12795201	12813639	gei-3
chrX	2303082	2314914	hum-6
chrI	2802803	2815830	itx-1
chrX	17131348	17134527	K09E3.7
chrI	8407630	8410804	lin-28
chrIII	3633005	3635788	linc-95
chrI	7614176	7634143	lrp-1
chrV	5614265	5614414	M03E7.7
chrV	5514348	5520458	mms-19
chrX	15435665	15440794	mocs-1
chrX	14938502	14946317	mrp-5
chrI	15001853	15005630	mtd-1
chrX	12705563	12808318	nhr-27
chrX	2594003	2606732	nhr-40
chrI	1062293	1065297	npr-23
chrIII	4618801	4643310	pfas-1
chrX	12968884	12977358	ppk-3
chrX	15407931	15419298	psa-3
chrII	14907506	14910407	R03C1.1
chrI	15064301	15064453	rrn-2.1
chrX	12981775	12985868	scav-4
chrI	6900949	6913579	smg-1
chrV	7205626	7214902	soap-1
chrV	3469445	3470882	srbc-29
chrV	3482960	3484802	srbc-33
chrV	16830557	16832021	srh-215
chrV	11078481	11078624	T04C12.18
chrV	11078491	11078633	T04C12.24
chrV	3712779	3715969	T27C4.1
chrII	12694412	12725566	tbc-17
chrIV	3516886	3526602	unc-33
chrIII	8193843	8201217	unc-36
chrI	1053894	1066899	vps-4
chrI	3533885	3539580	Y47G6A.5
chrI	14004428	14008484	Y71A12B.12
chrI	1799717	1806996	Y71G12B.5
chrI	6409050	6416812	ZC328.3
chrII	7535006	7537272	ZK1290.13
chrI	1112418	1115564	ZK993.5
