chr	start	end	value
chrI	1	1001	0.552843096043406
chrI	1001	2001	0.954653142814837
chrI	2001	3001	0.635558685111238
chrI	3001	4001	1.61496600277516
chrI	4001	5001	1.11169979440177
chrI	5001	6001	1.16713252715468
chrI	6001	7001	1.19566220204207
chrI	7001	8001	0.931176124357131
chrI	8001	9001	1.02767577541993
chrI	9001	10001	1.77052314873395
chrI	10001	11001	1.2729478819603
chrI	11001	12001	1.26383479273538
chrI	12001	13001	0.828601567209162
chrI	13001	14001	0.935063755392577
chrI	14001	15001	1.15278615362473
chrI	15001	16001	1.06674718267372
chrI	16001	17001	0.791657131960336
chrI	17001	18001	1.05995361333173
chrI	18001	19001	0.875420905861742
chrI	19001	20001	1.04389724043682
chrI	20001	21001	1.38599392365333
chrI	21001	22001	1.20574467663761
chrI	22001	23001	0.999890579915506
chrI	23001	24001	1.00766092645511
chrI	24001	25001	1.11633362897326
chrI	25001	26001	1.08482068929828
chrI	26001	27001	1.00440778028985
chrI	27001	28001	1.62916285178304
chrI	28001	29001	0.810637919695704
chrI	29001	30001	0.828497424377396
chrI	30001	31001	0.996588993168241
chrI	31001	32001	0.847652760776789
chrI	32001	33001	1.11847382709649
chrI	33001	34001	0.766976789045915
chrI	34001	35001	1.28066277414768
chrI	35001	36001	1.6229263557881
chrI	36001	37001	0.984898598147342
chrI	37001	38001	0.814021068817169
chrI	38001	39001	0.948767553812702
chrI	39001	40001	0.988600707755824
chrI	40001	41001	1.28850105788831
chrI	41001	42001	1.04155124320106
chrI	42001	43001	1.0016754290259
chrI	43001	44001	0.881347175184729
chrI	44001	45001	0.937473841841534
chrI	45001	46001	0.996546692607004
chrI	46001	47001	1.22470627419557
chrI	47001	48001	0.866869461711414
chrI	48001	49001	0.878755123439138
chrI	49001	50001	1.01095132465484
chrI	50001	51001	0.966163493033366
chrI	51001	52001	1.14710163692085
chrI	52001	53001	1.09241772509173
chrI	53001	54001	0.841588182809557
chrI	54001	55001	1.11484187285721
chrI	55001	56001	1.32336235775729
chrI	56001	57001	1.19987628769983
chrI	57001	58001	1.29399387679412
chrI	58001	59001	1.15936873602335
chrI	59001	60001	1.34058084739666
chrI	60001	61001	1.05661513471125
chrI	61001	62001	0.71279322853688
chrI	62001	63001	1.21650865935112
chrI	63001	64001	0.70719794109027
chrI	64001	65001	0.794997669222485
chrI	65001	66001	1.06688623867832
chrI	66001	67001	0.867199889080495
chrI	67001	68001	0.735098565731927
chrI	68001	69001	1.17509560150314
chrI	69001	70001	0.845144426400015
chrI	70001	71001	0.846835308025278
chrI	71001	72001	0.895348022516972
chrI	72001	73001	1.22234033711949
chrI	73001	74001	1.21430448933522
chrI	74001	75001	1.12835543588686
chrI	75001	76001	0.823874179875117
chrI	76001	77001	1.09085246890673
chrI	77001	78001	0.896641004749835
chrI	78001	79001	0.951483449224518
chrI	79001	80001	0.931611052133245
chrI	80001	81001	1.04788876535248
chrI	81001	82001	1.03547552613208
chrI	82001	83001	1.11281284092236
chrI	83001	84001	1.10516637488544
chrI	84001	85001	1.11586186859434
chrI	85001	86001	0.834658595545692
chrI	86001	87001	1.85132782064413
chrI	87001	88001	1.35572243839542
chrI	88001	89001	1.05699373091453
chrI	89001	90001	1.04435027384267
chrI	90001	91001	1.00978038528109
chrI	91001	92001	1.16840993321755
chrI	92001	93001	1.21400132951158
chrI	93001	94001	0.971495979943309
chrI	94001	95001	1.02383385111034
chrI	95001	96001	1.46474566399172
chrI	96001	97001	0.996770568360551
chrI	97001	98001	1.04167157283274
chrI	98001	99001	1.01432037966988
chrI	99001	100001	1.02723700945937
chrI	100001	101001	0.821508311526949
chrI	101001	102001	0.890341961446054
chrI	102001	103001	0.676941248893848
chrI	103001	104001	0.932802453625009
chrI	104001	105001	0.995521495083108
chrI	105001	106001	0.971682667792503
chrI	106001	107001	1.57583418547349
chrI	107001	108001	1.13285315004386
chrI	108001	109001	1.07908838092654
chrI	109001	110001	0.976087297146055
chrI	110001	111001	1.4551255880561
chrI	111001	112001	1.21268255499273
chrI	112001	113001	1.28630818713233
chrI	113001	114001	0.990915145449741
chrI	114001	115001	1.15708411438921
chrI	115001	116001	1.53608989261596
chrI	116001	117001	0.879732326834681
chrI	117001	118001	1.00102508078637
chrI	118001	119001	0.93729423728609
chrI	119001	120001	0.919871577223432
chrI	120001	121001	0.835396459028451
chrI	121001	122001	1.28031962809366
chrI	122001	123001	0.90488564910133
chrI	123001	124001	0.824128730801665
chrI	124001	125001	0.841639140301228
chrI	125001	126001	0.942211035278668
chrI	126001	127001	1.20442242793494
chrI	127001	128001	1.18024914055379
chrI	128001	129001	1.43292324086531
chrI	129001	130001	0.976401811770923
chrI	130001	131001	0.967813668979073
chrI	131001	132001	1.0991457860116
chrI	132001	133001	1.00730712838428
chrI	133001	134001	1.09810608839361
chrI	134001	135001	1.33640372095595
chrI	135001	136001	0.519263486960845
chrI	136001	137001	0.748546805066184
chrI	137001	138001	0.858728467786419
chrI	138001	139001	0.907497973787732
chrI	139001	140001	1.01583319340596
chrI	140001	141001	1.13915626437313
chrI	141001	142001	1.49929063992771
chrI	142001	143001	1.00965662105785
chrI	143001	144001	0.782209722034813
chrI	144001	145001	0.784152146509956
chrI	145001	146001	1.07195748047308
chrI	146001	147001	1.06309313406422
chrI	147001	148001	0.841707147169461
chrI	148001	149001	0.769982765980995
chrI	149001	150001	1.33202768407289
chrI	150001	151001	0.974043790813807
chrI	151001	152001	0.721596855842963
chrI	152001	153001	0.947685352278556
chrI	153001	154001	0.684662538971589
chrI	154001	155001	1.08073192502231
chrI	155001	156001	0.887930441251685
chrI	156001	157001	0.84721543625494
chrI	157001	158001	1.31680850092103
chrI	158001	159001	0.912900915974251
chrI	159001	160001	1.05333991732621
chrI	160001	161001	1.30557715886226
chrI	161001	162001	0.900768560790957
chrI	162001	163001	0.976005153362073
chrI	163001	164001	0.918272677079142
chrI	164001	165001	0.888818597273105
chrI	165001	166001	0.793935808450179
chrI	166001	167001	0.913423945035539
chrI	167001	168001	0.937450341105236
chrI	168001	169001	1.1095884648848
chrI	169001	170001	0.870001145759734
chrI	170001	171001	1.19250093190355
chrI	171001	172001	1.14012245768112
chrI	172001	173001	0.836345645839196
chrI	173001	174001	0.689428550968527
chrI	174001	175001	1.12356188502523
chrI	175001	176001	1.31759816336614
chrI	176001	177001	0.996805314219519
chrI	177001	178001	1.26733121426603
chrI	178001	179001	1.15864739307528
chrI	179001	180001	1.21937735068022
chrI	180001	181001	0.889401824623005
chrI	181001	182001	0.746337123976157
chrI	182001	183001	1.00708364806645
chrI	183001	184001	0.873760227545574
chrI	184001	185001	0.850765467130554
chrI	185001	186001	1.01239759216062
chrI	186001	187001	1.23507704368318
chrI	187001	188001	0.8440019629771
chrI	188001	189001	0.833687635761078
chrI	189001	190001	0.849441526885092
chrI	190001	191001	1.15757542503743
